pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name,prob_avoid,prob_no_known_interaction_in_selected_source,prob_use_caution
D01468__F00105,D01468,Rivoceranib,F00105,High-Fat Meal,Food,Use caution,rivoceranib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"Fed/fasting comparison : Cmax(90%CI) = 121 (91, 159),AUC0-inf (90%CI) = 129 (108, 153),Tmax (h) = 3 (1.5–6.03) (fasting = 1.75 (1–4))","Non-compartmental PK analysis of both parts of the study showed that the median tmax value was delayed when rivoceranib was administered with food, with an increase in exposure at the 201 mg dose. Thus, maximum exposure of rivoceranib is most likely to occur after food intake which is consistent with other tyrosine kinase inhibitors",34101892.0,Effect of food intake on the pharmacokinetics of rivoceranib in healthy subjects,10.1111/fcp.12707,Dietary effects,Dietary effects,2,2,1,1,Balanced AI baseline,,,
D00137__F00104,D00137,Ethotoin,F00104,Meal,Food,Use caution,ethotoin [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"The drug should be taken after food, and doses should be spaced as evenly as practicable. This may reduce gastrointestinal upset.",Take after a meal.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2009/010841s021lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01009__F00104,D01009,Lansoprazole,F00104,Meal,Food,Use caution,lansoprazole [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Both the Cmax and AUC are diminished by about 50 to 70% if lansoprazole is given 30 minutes after food, compared to the fasting condition. There is no significant food effect if lansoprazole is given before meals.",Take before a meal.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/020406s087s088,021428s034s035lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01311__F00104,D01311,Vosoritide,F00104,Meal,Food,Use caution,vosoritide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"To reduce the risk of a decrease in blood pressure and associated symptoms (dizziness, fatigue and/or nausea), instruct patients to be well hydrated and have adequate food intake prior to administration of VOXZOGO.","Your child should eat a meal and drink a glass (about 8 to 10 ounces) of fluid (such as water, milk, or juice) within 1 hour before injection.",,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214938Orig1s000Corrected_lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00360__F00104,D00360,Cocarboxylase,F00104,Meal,Food,Use caution,cocarboxylase [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Many different products contain cocarboxylase; refer to the product monograph for more specific instruction. EnBrace HR and EnLyte products should be taken on an empty stomach.,Take with or without food. Many different products contain cocarboxylase; refer to the product monograph for more specific instruction. EnBrace HR and EnLyte products should be taken on an empty stomach.,,https://go.drugbank.com/drugs/DB01987,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00181__F00103,D00181,Hydrochlorothiazide,F00103,Alcohol,Food,Use caution,hydrochlorothiazide [SEP] alcohol [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"Cardiovascular: Hypotension including orthostatic hypotension (may be aggravated by alcohol, barbiturates, narcotics or antihypertensive drugs).",Avoid alcohol. Alcohol may potentiate orthostatic hypotension.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/020504s026lbl.pdf,,FDI-Package Insert,FDI-Package Insert,1,1,0,0,Balanced AI baseline,,,
D01218__F00105,D01218,Gimeracil,F00105,High-Fat Meal,Food,Use caution,gimeracil [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Administration of Teysuno under fed conditions resulted in decreased AUC0-inf for gimeracil of approximately 25%,Take on an empty stomach. Take Teysuno at least 1 hour before or after eating.,,https://www.ema.europa.eu/en/documents/product-information/teysuno-epar-product-information_en.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00791__F00118,D00791,Posaconazole,F00118,Non-Fat Meal,Food,Use caution,posaconazole [SEP] non-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Fed study (Mean (% CV)) : Cmax (ng/mL) = 378 (43),Tmax (h) = 4.1 (21),AUC0‐72 (ng.h/mL) = 9511 (38); Fasted study (Mean (% CV)) : Cmax (ng/mL) = 132 (50),Tmax (h) = 5.0 (149),AUC0‐72 (ng.h/mL)) = 3553 (36)",The suspension formulation of posaconazole was associated with enhanced systemic exposure and increased relative bioavailability compared with the tablet. Food substantially enhanced the rate and extent of posaconazole absorption in healthy subjects.,14748822.0,Effect of food on the relative bioavailability of two oral formulations of posaconazole in healthy adults,10.1046/j.1365-2125.2003.01977.x,Dietary effects,Dietary effects,1,1,0,0,Balanced AI baseline,,,
D00572__F00105,D00572,Simvastatin,F00105,High-Fat Meal,Food,Use caution,simvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"High-fat meal demonstrated an 18% decrease in simvastatin AUC0-inf and a 44% increase in ß-hydroxyacid simvastatin AUC0-inf, compared with what was observed in the fasted state.",Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2016/206679s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00385__F00104,D00385,Troglitazone,F00104,Meal,Food,Use caution,troglitazone [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Food increases the extent of absorption by 30% to 85%,Rezulin should be taken with a meal to enhance systemic drug availability,,https://www.accessdata.fda.gov/drugsatfda_docs/label/1999/20720s12lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00553__F00105,D00553,Pirfenidone,F00105,High-Fat Meal,Food,Use caution,pirfenidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Significantly reduced maximum plasma concentration (Cmax, 5.05 ± 1.39 vs 10.90 ± 2.94 mg/L), modestly affected AUC 0-12 h (21.8 9 ± 6.47 vs 26.1 6 ± 7.32 mg·h/L) and delayed Tmax were observed in fed group compared with fasted group.",Take with food. Food decreased the rate and extent of absorption. Food reduces the incidence of drug-related adverse reactions.,26407124.0,Effect of grapefruit juice and food on the pharmacokinetics of pirfenidone in healthy Chinese volunteers: a diet-drug interaction study,10.3109/00498254.2015.1089365,Dietary effects,Dietary effects,1,1,0,0,Balanced AI baseline,,,
D00297__F00104,D00297,Phenylbutazone,F00104,Meal,Food,Use caution,phenylbutazone [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food.,,https://go.drugbank.com/drugs/DB00812,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00597__F00105,D00597,Atorvastatin,F00105,High-Fat Meal,Food,Use caution,atorvastatin [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,"Fed/fasting comparison : Tmax (h) = 2.53 (fasting = 1.38), Cmax(90%CI) = 68.1 (59.5-78.7), AUC0‐inf (90%CI) = 88.6 (83.4-94.9)",Take with or without food. Food decreases absorption but not to a clinically significant extent.,16988211.0,Effect of food on the bioavailability of amlodipine besylate/atorvastatin calcium combination tablet,10.1177/0091270006291097,Dietary effects,Dietary effects,2,2,1,1,Balanced AI baseline,,,
D00774__F00123,D00774,Rosuvastatin,F00123,Low-Fat Meal,Food,Use caution,rosuvastatin [SEP] low-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Fed study : Cmax (ng/mL) = 1.6 ± 0.7,Tmax (h) = 4.3 ± 1.5,AUC0‐10h (ng·h/mL) = 9.4 ± 3.5; Fasted study : Cmax (ng/mL) = 2.9 ± 0.6,Tmax (h) = 4.4 ± 1.8,AUC0‐10h (ng·h/mL) = 18.3 ± 3.4","We demonstrate that administration with food resulted in a near 40% reduction of rosuvastatin exposure in healthy Asian (n = 12) and Caucasian (n = 11) subjects. taking rosuvastatin with food could reduce systemic concentrations, and subsequent myopathy risk, without compromising LDL-C-lowering benefit.",29218707.0,Food Effect on Rosuvastatin Disposition and Low-Density Lipoprotein Cholesterol,10.1002/cpt.973,Dietary effects,Dietary effects,2,1,0,0,Balanced AI baseline,,,
D00021__F00104,D00021,Acetohexamide,F00104,Meal,Food,Use caution,acetohexamide [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The absorption is unaffected by food.,Take with or without food.,,https://go.drugbank.com/drugs/DB00414,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00450__F00104,D00450,Yohimbine,F00104,Meal,Food,Use caution,yohimbine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01392,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00833__F00105,D00833,Artenimol,F00105,High-Fat Meal,Food,Use caution,artenimol [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Co-administration of food was also found to result in both delayed and enhanced absorption of dihydroartemisinin (ratio between AUCinf in the fed and fasted = 142 %, 90 % CI 113-178 %; ratio between mean transit time [MTT] values in the fed and fasted states [MTTFED/MTTFASTED] = 135 %, 90 % CI 114-160 %).","Although food was found to significantly impact on the pharmacokinetics of piperaquine and dihydroartemisinin, given the low fat content of standard meals within endemic regions and the anorexic effects of malaria infection, these results are unlikely to impact on the clinical utility of these drugs. However, co-administration of food with these anti-malarials by populations consuming a typical Western diet should be avoided to reduce the risk of toxic side effects. It is therefore a general recommendation that piperaquine-dihydroartemisinin not be administered within ±3 h of food consumption.",26293519.0,Effect of food on the pharmacokinetics of piperaquine and dihydroartemisinin,10.1007/s40261-015-0312-8,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Balanced AI baseline,,,
D00370__F00027,D00370,Tolbutamide,F00027,Garlic,Food,Use caution,tolbutamide [SEP] garlic [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"There were significant decreases in body weight, the ratio of liver to body weight, and plasma albumin concentrations in rats on the low-protein diet compared with controls. The hypoglycaemic effect of tolbutamide was significantly greater and the concentration of the drug in plasma was higher in the former group. The repeated administration of Ginkgo biloba extract had little influence on the hypoglycaemic effect of tolbutamide, but tended to decrease the drug concentration in plasma of control rats, while it reduced significantly the hypoglycaemic action and plasma concentration of tolbutamide in the protein-restricted rats.",The effects of Ginkgo biloba extract on the pharmacokinetics and pharmacodynamics of tolbutamide were significantly enhanced in rats on the low-protein diet.,21827497.0,Effects of Ginkgo biloba extract on the pharmacokinetics and pharmacodynamics of tolbutamide in protein-restricted rats,10.1111/j.2042-7158.2011.01327.x,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D01148__F00105,D01148,Cabozantinib,F00105,High-Fat Meal,Food,Use caution,cabozantinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"Following a high-fat meal (study 1), cabozantinib Cmax and AUC were increased (40.5% and 57%, respectively), and the median tmax was delayed by 2 hours.",Not be taken with food (patients should not eat for at least 2 hours before and at least 1 hour after administration).,25907407.0,Evaluation of the effect of food and gastric pH on the single-dose pharmacokinetics of cabozantinib in healthy adult subjects,10.1002/jcph.526,Dietary effects,Dietary Effect-Package Insert; Dietary effects,3,1,0,0,Balanced AI baseline,,,
D00597__H00182,D00597,Atorvastatin,H00182,DAN SHEN,Herb,Use caution,atorvastatin [SEP] dan shen [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"The results indicated that Cmax (23.87 ± 4.27 vs. 38.94 ± 5.32 ng/mL), AUC(0-t) (41.01 ± 11.32 vs. 77.28 ± 12.92 ng h/mL), and t1/2 (1.91 ± 0.18 vs. 2.74 ± 0.23 h) decreased significantly (p < 0.05) when DST and AC were co-administered, which suggested that DST might influence the pharmacokinetic behavior of AC when they are co-administered. The metabolic stability (t1/2) of AC was also decreased (25.7 ± 5.2 vs. 42.5 ± 6.1) with the pretreatment of DST.","This study indicated that the main components in DST could accelerate the metabolism of AC in rat liver microsomes and change the pharmacokinetic behaviors of AC. So these results showed that the herb-drug interaction between DST and AC might occur when they were co-administered. Therefore, the clinical dose of AC should be adjusted when DST and AC are co-administered.",29322864.0,Effects of Danshen tablets on pharmacokinetics of atorvastatin calcium in rats and its potential mechanism,10.1080/13880209.2018.1424209,HFDI,HFDI,3,2,1,1,Balanced AI baseline,,,
D01083__F00104,D01083,Urea C-14,F00104,Meal,Food,Use caution,urea c-14 [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Avoid eating and drinking for 4-6 hours before doing a urea breath test with Urea C-14.,Take on an empty stomach.,,https://go.drugbank.com/drugs/DB09513,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D01265__F00104,D01265,Cholestyramine,F00104,Meal,Food,Use caution,cholestyramine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with a meal unless this interferes with other medications.,Take with food.,,https://go.drugbank.com/drugs/DB01432,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00027__F00162,D00027,Alprazolam,F00162,Grapefruit,Food,Use caution,alprazolam [SEP] grapefruit [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"Concomitant use of XANAX with strong CYP3A inhibitors has a profound effect on the clearance of alprazolam, resulting in increased concentrations of alprazolam and increased risk of adverse reactions",Avoid grapefruit products.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/018276s055lbl.pdf,,FDI-Package Insert,FDI-Package Insert; HFDI,2,2,1,1,Balanced AI baseline,,,
D00271__H00318,D00271,Omeprazole,H00318,Hypericum perforatum,Herb,Use caution,omeprazole [SEP] hypericum perforatum [SEP] herb,No known interaction in selected source,Negative,Negative,Negative,"The C(max) significantly decreased by 37.5% ± 13.3% (P =.001) in CYP2C19*2/CYP2C19*2 or *3 and by 49.6% ± 20.7% (P =.017) in CYP2C19*1/CYP2C19*1; the AUC(0- inf) decreased by 37.9% ± 21.3% (P =.014) and 43.9% ± 23.7% (P =.011) in CYP2C19 mutant and wild genotypes, respectively. Moreover, the C(max) and AUC(0- inf) of omeprazole sulfone increased by 160.3% ± 45.5% (P =.001) and by 136.6% ± 84.6% (P =.014), 155.5% ± 58.8% (P =.001), and 158.7% ± 101.4% (P =.017) in mutant and wild genotypes, respectively. St John's wort increased the C(max) of 5-hydroxyomeprazole by 38.1% ± 30.5% (P =.028) and the AUC(0- inf) by 37.2% ± 26% (P =.005) in CYP2C19 wild-type subjects, whereas it did not produce any significant alterations to the corresponding pharmacokinetic parameters in subjects with variant genotypes.",St John's wort induces both CYP3A4-catalyzed sulfoxidation and CYP2C19-dependent hydroxylation of omeprazole and enormously decreases the plasma concentrations of omeprazole.,15001970.0,St John's wort induces both cytochrome P450 3A4-catalyzed sulfoxidation and 2C19-dependent hydroxylation of omeprazole,10.1016/j.clpt.2003.09.014,HFDI,HFDI,1,1,0,0,Balanced AI baseline,,,
D00323__F00105,D00323,Propiverine,F00105,High-Fat Meal,Food,Use caution,propiverine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"Fed/fasting comparison (Propiverine) : Tmax = 2.0 (1.0, 8.0)(fasting = 2.0 (1.0, 4.0)),Cmax(90%CI) = 1.24 (1.11, 1.38),AUC0‐inf(90%CI) = 1.35 (1.14, 1.61); Fed/fasting comparison (Cumulative urinary excretion) : AeM-23(90%CI) = 0.92 (0.86, 0.98),AeM-5(90%CI) = 1.00 (0.93, 1.08),AeM-6(90%CI) = 0.90 (0.85, 0.96)",Take with or without food.,21551317.0,Influence of a fat-rich meal on bioavailability of extended-release and immediate-release propiverine,10.1177/0091270011401260,Dietary effects,Dietary effects,2,2,1,1,Balanced AI baseline,,,
D00648__F00104,D00648,Methotrimeprazine,F00104,Meal,Food,Use caution,methotrimeprazine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food,,https://go.drugbank.com/drugs/DB01403,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00647__F00103,D00647,Secnidazole,F00103,Alcohol,Food,Use caution,secnidazole [SEP] alcohol [SEP] food,No known interaction in selected source,Possible,Possible,Possible,"Nausea, vomiting, diarrhea, abdominal pain, dizziness, and headache have been reported when SOLOSEC was taken concomitantly with alcohol",Alcoholic beverages and preparations containing ethanol or propylene glycol should be avoidedduring SOLOSEC therapy and for 2 days after treatment is stopped.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209363Orig1s014s016lbl.pdf,,FDI-Package Insert,FDI-Package Insert,1,1,0,0,Balanced AI baseline,,,
D00577__F00105,D00577,Quinapril,F00105,High-Fat Meal,Food,Use caution,quinapril [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,The rate and extent of quinapril absorption are diminished moderately (approximately 25–30%) when ACCUPRIL tablets are administered during a high-fat meal.,Avoid fatty foods.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/019885s043lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,2,1,0,0,Balanced AI baseline,,,
D01290__F00105,D01290,Abrocitinib,F00105,High-Fat Meal,Food,Use caution,abrocitinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"No clinically relevant effect on abrocitinib exposures (AUC and Cmax of abrocitinib increased by approximately 26% and 29%, respectively, and Tmax was prolonged by 2 hours)",Administer CIBINQO with or without food at approximately the same time each day.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213871s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,2,1,0,0,Balanced AI baseline,,,
D00597__H00329,D00597,Atorvastatin,H00329,Ramulus Euonymi,Herb,Use caution,atorvastatin [SEP] ramulus euonymi [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Balanced AI baseline,,,
D00532__F00104,D00532,Pivampicillin,F00104,Meal,Food,Use caution,pivampicillin [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The absorption is unaffected by food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01604,,Drugbank,Drugbank,1,1,0,0,Balanced AI baseline,,,
D00597__H00325,D00597,Atorvastatin,H00325,Fructus Choerospondiatis,Herb,Use caution,atorvastatin [SEP] fructus choerospondiatis [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Balanced AI baseline,,,
