pair_key,Drug_ID,Drug_Name,Food_Herb_ID,Food_Herb_Name,Type,paper_label,drug_item_text,prediction,Effect,effect_clean,ddid_effects_all,Result,Conclusion,PMID,Reference,DOI,Relationship_classification,relationship_sources,evidence_row_count,n_effects,has_effect_conflict,has_label_conflict,model_name
D01265__F00104,D01265,Cholestyramine,F00104,Meal,Food,Use caution,cholestyramine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with a meal unless this interferes with other medications.,Take with food.,,https://go.drugbank.com/drugs/DB01432,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00271__H00318,D00271,Omeprazole,H00318,Hypericum perforatum,Herb,Use caution,omeprazole [SEP] hypericum perforatum [SEP] herb,No known interaction in selected source,Negative,Negative,Negative,"The C(max) significantly decreased by 37.5% ± 13.3% (P =.001) in CYP2C19*2/CYP2C19*2 or *3 and by 49.6% ± 20.7% (P =.017) in CYP2C19*1/CYP2C19*1; the AUC(0- inf) decreased by 37.9% ± 21.3% (P =.014) and 43.9% ± 23.7% (P =.011) in CYP2C19 mutant and wild genotypes, respectively. Moreover, the C(max) and AUC(0- inf) of omeprazole sulfone increased by 160.3% ± 45.5% (P =.001) and by 136.6% ± 84.6% (P =.014), 155.5% ± 58.8% (P =.001), and 158.7% ± 101.4% (P =.017) in mutant and wild genotypes, respectively. St John's wort increased the C(max) of 5-hydroxyomeprazole by 38.1% ± 30.5% (P =.028) and the AUC(0- inf) by 37.2% ± 26% (P =.005) in CYP2C19 wild-type subjects, whereas it did not produce any significant alterations to the corresponding pharmacokinetic parameters in subjects with variant genotypes.",St John's wort induces both CYP3A4-catalyzed sulfoxidation and CYP2C19-dependent hydroxylation of omeprazole and enormously decreases the plasma concentrations of omeprazole.,15001970.0,St John's wort induces both cytochrome P450 3A4-catalyzed sulfoxidation and 2C19-dependent hydroxylation of omeprazole,10.1016/j.clpt.2003.09.014,HFDI,HFDI,1,1,0,0,Calibrated balanced mode
D00323__F00105,D00323,Propiverine,F00105,High-Fat Meal,Food,Use caution,propiverine [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,No Effect; Positive,"Fed/fasting comparison (Propiverine) : Tmax = 2.0 (1.0, 8.0)(fasting = 2.0 (1.0, 4.0)),Cmax(90%CI) = 1.24 (1.11, 1.38),AUC0‐inf(90%CI) = 1.35 (1.14, 1.61); Fed/fasting comparison (Cumulative urinary excretion) : AeM-23(90%CI) = 0.92 (0.86, 0.98),AeM-5(90%CI) = 1.00 (0.93, 1.08),AeM-6(90%CI) = 0.90 (0.85, 0.96)",Take with or without food.,21551317.0,Influence of a fat-rich meal on bioavailability of extended-release and immediate-release propiverine,10.1177/0091270011401260,Dietary effects,Dietary effects,2,2,1,1,Calibrated balanced mode
D00648__F00104,D00648,Methotrimeprazine,F00104,Meal,Food,Use caution,methotrimeprazine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Food reduces irritation.,Take with food,,https://go.drugbank.com/drugs/DB01403,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D01290__F00105,D01290,Abrocitinib,F00105,High-Fat Meal,Food,Use caution,abrocitinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"No clinically relevant effect on abrocitinib exposures (AUC and Cmax of abrocitinib increased by approximately 26% and 29%, respectively, and Tmax was prolonged by 2 hours)",Administer CIBINQO with or without food at approximately the same time each day.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213871s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,2,1,0,0,Calibrated balanced mode
D00597__H00329,D00597,Atorvastatin,H00329,Ramulus Euonymi,Herb,Use caution,atorvastatin [SEP] ramulus euonymi [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Calibrated balanced mode
D00532__F00104,D00532,Pivampicillin,F00104,Meal,Food,Use caution,pivampicillin [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,The absorption is unaffected by food.,Take with or without food.,,https://go.drugbank.com/drugs/DB01604,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00597__H00325,D00597,Atorvastatin,H00325,Fructus Choerospondiatis,Herb,Use caution,atorvastatin [SEP] fructus choerospondiatis [SEP] herb,No known interaction in selected source,Possible,Possible,No Effect; Possible,"Single group study(ATV) : Cmax (ng/ml) = 54.15 ± 29.11,AUC0‐inf (ng·h/ml) = 170.38 ± 69.72,Tmax (h) = 1.15 ± 1.89,t ½ (h) = 3.02 ± 1.91; Combined group study(ATV) : Cmax (ng/ml,p < 0.05) = 388.17 ± 260.99,AUC0‐inf (ng·h/ml,p < 0.05) = 688.16 ± 433.28,Tmax (h) = 0.67 ± 0.38,t ½ (h) = 1.40 ± 0.68; Single group study(2-ATV) : Cmax (ng/ml) = 33.35 ± 16.34,AUC0‐inf (ng·h/ml) = 252.78 ± 75.01,Tmax (h) = 3.17 ± 2.04,t ½ (h) = 5.18 ± 2.83; Combined group study(2-ATV) : Cmax (ng/ml,p < 0.05) = 385.58 ± 219.10,AUC0‐inf (ng·h/ml,p < 0.05) = 1215.90 ± 571.09,Tmax (h) = 1.17 ± 0.41,t ½ (h) = 3.79 ± 3.15","The Cmax and AUC(0–48) of ATV and 2-ATV improved significantly in the combined group, which revealed that NG could increase their bioavailability in vivo, compared to that observed upon administration of ATV alone. However, ATV did not affect the pharmacokinetic parameters of NG after co-administration with ATV.",36189913.0,"Development of a UPLC-MS/MS method for the simultaneous determination of atorvastatin, 2-hydroxy atorvastatin, and naringenin in rat plasma and its application to pharmacokinetic interaction studies",10.1002/bmc.5515,HFDI,HFDI,3,2,1,1,Calibrated balanced mode
D00261__F00104,D00261,Nilvadipine,F00104,Meal,Food,Use caution,nilvadipine [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food.,Take with or without food.,,https://go.drugbank.com/drugs/DB06712,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00424__F00104,D00424,Cloxacillin,F00104,Meal,Food,Use caution,cloxacillin [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,Food delays the absorption of cloxacillin sodium.cloxacillin.,Take on an empty stomach. Orally administered cloxacillin should be taken 1-2 hours prior to meals as the presence of food in the stomach and intestine reduces drug absorption.,,https://pdf.hres.ca/dpd_pm/00055444.PDF,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00608__F00104,D00608,Capecitabine,F00104,Meal,Food,Use caution,capecitabine [SEP] meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative,"Following administration of a meal the mean Cmax and AUC0-INF of capecitabine was decreased by 60% and 34%, respectively. The mean Cmax and AUC0-INF of fluorouracil were also decreased by 37 % and 12%, respectively. The Tmax of both capecitabine and fluorouracil was delayed by 1.5 hours.",Take with water within 30 minutes after a meal.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/020896s044s051lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D00993__F00105,D00993,Ganaxolone,F00105,High-Fat Meal,Food,Use caution,ganaxolone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"When ZTALMY was administered with a high-fat meal, the Cmax and AUC increased by 3- and 2-fold, respectively, when compared to administration under fasted conditions.",Taken with food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215904s000lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
D01072__F00105,D01072,Lurasidone,F00105,High-Fat Meal,Food,Use caution,lurasidone [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The geometric mean Cmax in the fasted state was 56.7 ng/mL compared with 123.0 ng/mL for the 800- to 1000-kcal meal; mean AUC0-tau was 360.0 versus 752.4 ng·h/mL (both p < 0.001). Lurasidone exposure following meals containing 100 and 200 kcal was substantially lower than with meals containing 800-1000 kcal.,Lurasidone should be administered with food to ensure maximum exposure.,24014143.0,"Effect of food on the pharmacokinetics of lurasidone: results of two randomized, open-label, crossover studies",10.1002/hup.2338,Dietary effects,Dietary Effect-Package Insert; Dietary effects,5,1,0,0,Calibrated balanced mode
D00597__H00162,D00597,Atorvastatin,H00162,Coffee,Herb,Use caution,atorvastatin [SEP] coffee [SEP] herb,No known interaction in selected source,Possible,Possible,Possible,"Infarct size was significantly reduced by ATV in the water + sugar (11.7 ± 0.7%, p = 0.015) and DC (11.5 ± 1.0%; p < 0.001) groups, but not in the CC group (32.3 ± 3.0%; p = 0.719). ATV increased myocardial levels of Ser-473 phosphorylated Akt in the water + sugar and DC groups, but not in the CC group.","Caffeinated coffee, but not decaffeinated coffee, abrogated the IS-limiting effects of ATV by blocking the adenosine receptors and preventing the phosphorylation of Akt.",18327703.0,Caffeinated coffee blunts the myocardial protective effects of statins against ischemia-reperfusion injury in the rat,10.1007/s10557-008-6105-z,HFDI,HFDI,1,1,0,0,Calibrated balanced mode
D00056__F00104,D00056,Bethanechol,F00104,Meal,Food,Use caution,bethanechol [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Nausea and vomiting may occur if taken after food.,Take on an empty stomach. Nausea and vomiting may occur if taken after food.,,https://go.drugbank.com/drugs/DB01019,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00003__F00104,D00003,Activated Charcoal,F00104,Meal,Food,Use caution,activated charcoal [SEP] meal [SEP] food,No known interaction in selected source,Possible,Possible,Possible,Take with or without food. Give a higher dose of activated charcoal if it is administered after a large meal.,Take with or without food.,,https://go.drugbank.com/drugs/DB09278,,Drugbank,Drugbank,1,1,0,0,Calibrated balanced mode
D00972__F00105,D00972,Everolimus,F00105,High-Fat Meal,Food,Use caution,everolimus [SEP] high-fat meal [SEP] food,No known interaction in selected source,Negative,Negative,Negative; No Effect,Reduced systemic exposure to AFINITOR 10 mg (as measured by AUC) by 22% and the peak blood concentration Cmax by 54%.,Take with or without food. Take consistently with regard to food as food may reduce the AUC and Cmax of everolimus.,,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022334s044,203985s016lbl.pdf",,Dietary Effect-Package Insert,Dietary Effect-Package Insert; Dietary effects,3,2,1,1,Calibrated balanced mode
D00976__F00116,D00976,Rilpivirine,F00116,Standard Meal,Food,Use caution,rilpivirine [SEP] standard meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,The least-squares mean ratio for area under the plasma concentration-time curve to last timepoint was 0.57 (90% confidence interval [CI]: 0.46-0.72) under fasting conditions compared to dosing with a normal-fat breakfast.,Rilpivirine bioavailability was similar when administered with a high-fat or normal-fat breakfast. Rilpivirine should always be taken with a meal to ensure adequate bioavailability.,23720136.0,Impact of food and different meal types on the pharmacokinetics of rilpivirine,10.1002/jcph.107,Dietary effects,Dietary Effect-Package Insert; Dietary effects,2,1,0,0,Calibrated balanced mode
D01173__F00105,D01173,Icotinib,F00105,High-Fat Meal,Food,Use caution,icotinib [SEP] high-fat meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,"After dosing 400 mg of Icotinib with high-fat and high-calorie meal, mean Cmax and AUC were significantly increased by 59 and 79 %, respectively.",Food intake significantly increased the absorption and exposure of Icotinib in healthy subjects.,24488324.0,"Clinical pharmacokinetics of Icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects",10.1007/s00280-014-2398-8,Dietary effects,Dietary effects,1,1,0,0,Calibrated balanced mode
D00055__F00104,D00055,Betaxolol,F00104,Meal,Food,Use caution,betaxolol [SEP] meal [SEP] food,No known interaction in selected source,Positive,Positive,Positive,Absolute bioavailability of 89% ± 5% that is unaffected by the concomitant ingestion of food or alcohol.,Take with or without food.,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2011/019507s008lbl.pdf,,Dietary Effect-Package Insert,Dietary Effect-Package Insert,1,1,0,0,Calibrated balanced mode
